Location	Pincode	State	District
Akamkudy	690513	Kerala	Alappuzha
Ala	689126	Kerala	Alappuzha
Alappuzha	688001	Kerala	Alappuzha
Alappuzha Bazar	688012	Kerala	Alappuzha
Alappuzha Collectorate	688001	Kerala	Alappuzha
Alappuzha District hospital	688011	Kerala	Alappuzha
Alappuzha Iron bridge	688011	Kerala	Alappuzha
Alappuzha Medical college	688005	Kerala	Alappuzha
Alappuzha Mullackal	688011	Kerala	Alappuzha
Alappuzha North	688007	Kerala	Alappuzha
Amabalapuzha East	688565	Kerala	Alappuzha
Ambalapuzha	688561	Kerala	Alappuzha
Anaprambal	689576	Kerala	Alappuzha
Anaprambal North	689577	Kerala	Alappuzha
Andhakaranazhy	688531	Kerala	Alappuzha
Angadical Chengannur	689122	Kerala	Alappuzha
Arattupuzha	690565	Kerala	Alappuzha
Arattupuzha North	690515	Kerala	Alappuzha
Areekara	689505	Kerala	Alappuzha
Arookutty	688535	Kerala	Alappuzha
Arror	688534	Kerala	Alappuzha
Arthingal	688530	Kerala	Alappuzha
Arunoottimangalam	690110	Kerala	Alappuzha
Aryad North	688542	Kerala	Alappuzha
Athikattukulangara	690504	Kerala	Alappuzha
Avalukunnu	688006	Kerala	Alappuzha
Ayaparambu	690517	Kerala	Alappuzha
Ayiranikudy	689515	Kerala	Alappuzha
Bharanickavu	690541	Kerala	Alappuzha
Bhudhanoor	689510	Kerala	Alappuzha
Champakulam	688505	Kerala	Alappuzha
Champakulam East	688505	Kerala	Alappuzha
Chandiroor	688547	Kerala	Alappuzha
Changankary	689579	Kerala	Alappuzha
Charumoodu	690505	Kerala	Alappuzha
Chathurthiakary	688502	Kerala	Alappuzha
Chekkidikkadu	689573	Kerala	Alappuzha
Chempumpuram	688505	Kerala	Alappuzha
Chengannur	689121	Kerala	Alappuzha
Chengannur Rs	689121	Kerala	Alappuzha
Chennamkary	688501	Kerala	Alappuzha
Chennamkary East	688506	Kerala	Alappuzha
Chennithala	690105	Kerala	Alappuzha
Chennithala South	690105	Kerala	Alappuzha
Cheppaud	690507	Kerala	Alappuzha
Cheriyanadu	689511	Kerala	Alappuzha
Cherthala	688524	Kerala	Alappuzha
Cherthala Cutcherry	688524	Kerala	Alappuzha
Cherthala South	688552	Kerala	Alappuzha
Cherukara Kuttanad	688506	Kerala	Alappuzha
Cherukole	690104	Kerala	Alappuzha
Cheruthana	690563	Kerala	Alappuzha
Chethy	688530	Kerala	Alappuzha
Chettikulangara	690106	Kerala	Alappuzha
Chingoli	690532	Kerala	Alappuzha
Chirayakom	688562	Kerala	Alappuzha
Choolatheruvu	690506	Kerala	Alappuzha
Chunakara	690534	Kerala	Alappuzha
Chungom	688011	Kerala	Alappuzha
Eara North	686534	Kerala	Alappuzha
Edanad	689123	Kerala	Alappuzha
Elanjimel	689511	Kerala	Alappuzha
Ennakkad	689624	Kerala	Alappuzha
Eramallikkara	689109	Kerala	Alappuzha
Eramathoor	689622	Kerala	Alappuzha
Eramullur	688587	Kerala	Alappuzha
Eravankara	690108	Kerala	Alappuzha
Erezha North	690106	Kerala	Alappuzha
Erezha South	690106	Kerala	Alappuzha
Erickavu	690516	Kerala	Alappuzha
Eruva	690564	Kerala	Alappuzha
Evur	690553	Kerala	Alappuzha
Ezhakadavu	690104	Kerala	Alappuzha
Ezhupunna	688548	Kerala	Alappuzha
Ezhupunna South	688550	Kerala	Alappuzha
Govindamuttom	690527	Kerala	Alappuzha
Haripad	690514	Kerala	Alappuzha
Illichira	688561	Kerala	Alappuzha
Illippakulam	690503	Kerala	Alappuzha
Kadakkarapally	688529	Kerala	Alappuzha
Kaduvinal	690501	Kerala	Alappuzha
Kainady	686534	Kerala	Alappuzha
Kainakary	688501	Kerala	Alappuzha
Kainakary East	688501	Kerala	Alappuzha
Kakkazhom	688005	Kerala	Alappuzha
Kalavamkodam	688524	Kerala	Alappuzha
Kallimel	690570	Kerala	Alappuzha
Kallisserry	689124	Kerala	Alappuzha
